ID,CLASSIFIED,TYPE
JCR-1881,BUG,BUG
JCR-611,TASK,TASK
JCR-2216,IMPROVEMENT,IMPROVEMENT
JCR-3112,BUG,BUG
JCR-1663,IMPROVEMENT,IMPROVEMENT
JCR-1466,DESIGN_DEFECT,BUG
JCR-1400,BACKPORT,IMPROVEMENT
JCR-1004,RFE,IMPROVEMENT
JCR-1615,IMPROVEMENT,IMPROVEMENT
JCR-1766,BUG,BUG
JCR-14,BUG,BUG
JCR-152,DOCUMENTATION,IMPROVEMENT
JCR-3000,BUG,BUG
JCR-1300,IMPROVEMENT,IMPROVEMENT
JCR-2850,BUG,BUG
JCR-1997,IMPROVEMENT,BUG
JCR-1694,BUG,BUG
JCR-2880,BUG,BUG
JCR-2588,BUG,BUG
JCR-1042,IMPROVEMENT,IMPROVEMENT
JCR-981,BUG,BUG
JCR-3090,BUG,BUG
JCR-1065,TEST,BUG
JCR-31,RFE,BUG
JCR-619,RFE,RFE
JCR-1684,TEST,IMPROVEMENT
JCR-572,IMPROVEMENT,IMPROVEMENT
JCR-707,BUG,BUG
JCR-450,BUG,BUG
JCR-262,TEST,TEST
JCR-2139,BUG,BUG
JCR-947,TEST,IMPROVEMENT
JCR-2659,BUG,BUG
JCR-3189,BUG,BUG
JCR-1593,RFE,
JCR-817,TEST,IMPROVEMENT
JCR-212,IMPROVEMENT,IMPROVEMENT
JCR-2656,BUG,BUG
JCR-852,IMPROVEMENT,IMPROVEMENT
JCR-2378,IMPROVEMENT,IMPROVEMENT
JCR-612,TASK,IMPROVEMENT
JCR-1601,BUG,BUG
JCR-2854,RFE,IMPROVEMENT
JCR-2741,RFE,IMPROVEMENT
JCR-1859,IMPROVEMENT,IMPROVEMENT
JCR-2737,TEST,IMPROVEMENT
JCR-452,BUG,BUG
JCR-2340,BUG,BUG
JCR-491,TEST,BUG
JCR-1326,IMPROVEMENT,IMPROVEMENT
JCR-1486,RFE,IMPROVEMENT
JCR-1966,IMPROVEMENT,IMPROVEMENT
JCR-2917,BUG,BUG
JCR-2580,BUG,BUG
JCR-1157,IMPROVEMENT,IMPROVEMENT
JCR-2663,TEST,BUG
JCR-405,BUG,BUG
JCR-1198,BUG,BUG
JCR-1537,BUG,BUG
JCR-1730,BUG,BUG
JCR-329,BUG,IMPROVEMENT
JCR-3117,RFE,
JCR-2906,IMPROVEMENT,IMPROVEMENT
JCR-102,DOCUMENTATION,IMPROVEMENT
JCR-2219,IMPROVEMENT,IMPROVEMENT
JCR-1132,RFE,IMPROVEMENT
JCR-114,IMPROVEMENT,IMPROVEMENT
JCR-1849,RFE,
JCR-2956,RFE,IMPROVEMENT
JCR-2283,BUG,BUG
JCR-3140,RFE,RFE
JCR-2634,BUG,IMPROVEMENT
JCR-2589,BUG,BUG
JCR-168,BUG,BUG
JCR-2517,IMPROVEMENT,IMPROVEMENT
JCR-2783,BUG,BUG
JCR-2595,BUG,BUG
JCR-119,BUG,BUG
JCR-1450,BUG,BUG
JCR-2522,BUG,BUG
JCR-3050,BUG,BUG
JCR-1156,REFACTORING,IMPROVEMENT
JCR-2424,BUILD_SYSTEM,IMPROVEMENT
JCR-961,RFE,RFE
JCR-2784,IMPROVEMENT,BUG
JCR-2536,IMPROVEMENT,BUG
JCR-69,BUG,BUG
JCR-2322,DOCUMENTATION,IMPROVEMENT
JCR-1241,IMPROVEMENT,IMPROVEMENT
JCR-888,BUG,BUG
JCR-2735,RFE,IMPROVEMENT
JCR-439,BUG,BUG
JCR-674,BUG,BUG
JCR-2220,BUILD_SYSTEM,IMPROVEMENT
JCR-2337,TEST,BUG
JCR-528,TEST,BUG
JCR-2918,IMPROVEMENT,IMPROVEMENT
JCR-2518,IMPROVEMENT,IMPROVEMENT
JCR-1449,BUG,BUG
JCR-874,OTHER,IMPROVEMENT
JCR-2167,IMPROVEMENT,BUG
JCR-2945,BUG,BUG
JCR-1720,RFE,IMPROVEMENT
JCR-418,BUILD_SYSTEM,RFE
JCR-2614,TEST,IMPROVEMENT
JCR-2238,BUG,BUG
JCR-1784,BUG,BUG
JCR-2297,SPEC,BUG
JCR-683,IMPROVEMENT,BUG
JCR-550,BUG,BUG
JCR-1280,BUG,BUG
JCR-237,BUG,BUG
JCR-218,SPEC,IMPROVEMENT
JCR-565,REFACTORING,IMPROVEMENT
JCR-1057,IMPROVEMENT,IMPROVEMENT
JCR-2984,BUG,BUG
JCR-1862,BUG,BUG
JCR-2709,BUG,BUG
JCR-1967,BUG,IMPROVEMENT
JCR-856,TEST,BUG
JCR-1634,BUG,BUG
JCR-2625,IMPROVEMENT,IMPROVEMENT
JCR-376,CLEANUP,BUG
JCR-2202,BUG,BUG
JCR-3247,BUG,BUG
JCR-1582,BUG,BUG
JCR-139,BUG,BUG
JCR-3158,BUG,BUG
JCR-505,TEST,BUG
JCR-1650,BUG,BUG
JCR-487,SPEC,BUG
JCR-2385,BUG,BUG
JCR-2234,SPEC,
JCR-1850,IMPROVEMENT,IMPROVEMENT
JCR-1138,IMPROVEMENT,IMPROVEMENT
JCR-882,TEST,IMPROVEMENT
JCR-648,BUG,BUG
JCR-471,RFE,IMPROVEMENT
JCR-1804,RFE,IMPROVEMENT
